RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM
C,ago - dic 2019,Fascia,Rebaba,"109,784",3,0,0,0,0,3,27
C,ago - dic 2019,Fascia,Poste quebrado,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,Fascia,Overlay movido,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Fascia,Pandeada,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Fascia,Orificio tapado,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Gabinetes,Doblez deformado,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,Gabinetes,Marca de rebaba,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Gabinetes,Desprendimiento de pintura,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Impeller,Tornillo barrido,"109,784",0,10,2,0,0,12,109
C,ago - dic 2019,Impeller,Rebaba,"109,784",3,0,3,0,0,6,55
C,ago - dic 2019,Impeller,Mal ensamble a base basket / pre-colocación de tornillo,"109,784",0,2,0,0,0,2,18
AA,ago - dic 2019,Inner tray,Rotos,"109,784","10,115",0,0,0,0,"10,115","92,135"
A,ago - dic 2019,Inner tray,Fuera de especificación / Deformes / Falta pestaña / Mal cortada / Mal troquedala / Incompleta,"109,784","1,273",0,0,0,0,"1,273","11,595"
A,ago - dic 2019,Inner tray,Despegados,"109,784",664,0,0,0,0,664,"6,048"
B,ago - dic 2019,Inner tray,Se trozan al doblar,"109,784",313,0,0,0,0,313,"2,851"
C,ago - dic 2019,Inner tray,Carton duro,"109,784",22,0,0,0,0,22,200
C,ago - dic 2019,Inner tray,Mal pegadas,"109,784",4,0,0,0,0,4,36
C,ago - dic 2019,LABEL - PROD REG,Mal impresa,"109,784",23,0,0,0,0,23,210
B,ago - dic 2019,LABEL SCALE LEVEL,Equivocado,"109,784",500,10,0,0,0,510,"4,645"
C,ago - dic 2019,LABEL SCALE LEVEL,Ausentes,"109,784",0,9,7,0,0,16,146
C,ago - dic 2019,LABEL SCALE LEVEL,Mal posicionado,"109,784",0,2,0,0,0,2,18
C,ago - dic 2019,LABEL SCALE LEVEL,Colocada al reves,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,LABEL SCALE LEVEL,Despegado,"109,784",0,1,0,0,0,1,9
AA,ago - dic 2019,LID,Ruido,"109,784",0,0,0,1,7,8,73
C,ago - dic 2019,LID,"Golpeado, agrietado, quebrado","109,784",0,0,2,0,0,2,18
C,ago - dic 2019,LID,Bumper ausente,"109,784",2,2,0,0,0,4,36
C,ago - dic 2019,LID,Mal ensamble de bisagras,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,LID,Contaminado,"109,784",0,0,1,0,0,1,9
A,ago - dic 2019,LID LOCK,En corto / No candadea / Falla funcional,"109,784",1,0,5,0,3,9,82
B,ago - dic 2019,LID LOCK,Fuera de posición,"109,784",0,1,2,0,1,4,36
B,ago - dic 2019,LID LOCK,Desajustado,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,LID LOCK,Candadeado/Activado,"109,784",7,0,0,0,0,7,64
C,ago - dic 2019,LID LOCK,Tiro corto,"109,784",4,0,0,0,0,4,36
C,ago - dic 2019,LID LOCK,Quebrado / dañado,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,LID LOCK,Falta cincho,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,LID LOCK,Cable expuesto,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,LID LOCK,Se apaga unidad,"109,784",1,0,0,0,0,1,9
B,ago - dic 2019,Lid metalico,Tornillo mal ensamblado,"109,784",0,40,3,0,0,43,392
C,ago - dic 2019,Lid metalico,Tornillo ausente,"109,784",0,1,2,0,0,3,27
C,ago - dic 2019,Lid metalico,Golpeado,"109,784",0,1,1,0,0,2,18
C,ago - dic 2019,Lid metalico,Visagra con mal ensamble,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Lid metalico,Bumper ausente,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Lid metalico,Strike hook ausente,"109,784",0,0,1,0,0,1,9
C,ago - dic 2019,Lid metalico,Strike hook mal ensamblado,"109,784",0,1,0,0,0,1,9
AA,ago - dic 2019,Lid Plastico,Bisagra mal ensamble,"109,784",0,120,0,0,0,120,"1,093"
B,ago - dic 2019,Lid Plastico,Hinge bracket equivocado,"109,784",0,48,0,0,0,48,437
B,ago - dic 2019,Lid Plastico,Equivocado,"109,784",24,7,0,0,0,31,282
C,ago - dic 2019,Lid Plastico,Dañado / rayado,"109,784",5,1,0,0,0,6,55
C,ago - dic 2019,Lid Plastico,Cover hinge equivocado,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,Lid Plastico,Bumper mal ensamblado,"109,784",1,0,0,0,0,1,9
B,ago - dic 2019,Lid vidrio,Esquina despegada / Lid despegado,"109,784",2,0,0,1,0,3,27
AA,ago - dic 2019,MANGUERA APS,Doblada,"109,784",702,0,0,0,1,703,"6,403"
B,ago - dic 2019,MANGUERA APS,Desconectada / sin ensamblar,"109,784",0,3,4,0,1,8,73
C,ago - dic 2019,MANGUERA APS,Contaminación / sucias,"109,784",0,2,1,0,0,3,27
C,ago - dic 2019,MANGUERA DE DRENADO,Faltante,"109,784",0,0,0,0,2,2,18
C,ago - dic 2019,MANGUERA DE DRENADO,Rota,"109,784",0,0,0,0,1,1,9
C,ago - dic 2019,MANGUERA DE DRENADO,Falta de guía,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,MANGUERA DE DRENADO Tina a Bomba,Rota,"109,784",0,0,0,1,1,2,18
C,ago - dic 2019,MANGUERAS DE LLENADO,Tamaño diferente al requerido,"109,784",0,0,0,0,1,1,9
AA,ago - dic 2019,Mega,Falla funcional / no enciende,"109,784",4,69,66,0,0,139,"1,266"
B,ago - dic 2019,Mega,Quebrada / rayada / golpeada,"109,784",0,0,9,0,0,9,82
C,ago - dic 2019,Mega,Leds encendidos (dañada),"109,784",3,0,0,1,0,4,36
C,ago - dic 2019,Mega,Falla de led,"109,784",2,1,4,0,0,7,64
C,ago - dic 2019,Mega,Conector mal ensamblado / sin ensamblar,"109,784",2,1,1,0,0,4,36
C,ago - dic 2019,Mega,Boton ausente,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,Mega,Conector quebrado,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,Mega,No realiza prueba,"109,784",4,1,0,0,0,5,46
C,ago - dic 2019,Mega,Dañado,"109,784",0,1,0,0,0,1,9
C,ago - dic 2019,Mega,Arnes dañado,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,Mega,Led candado equivocado,"109,784",1,0,0,0,0,1,9
AA,ago - dic 2019,MOTOR,Tornillo barrido / Falta de torque,"109,784",0,21,56,0,0,77,701
A,ago - dic 2019,MOTOR,En corto / falla funcional,"109,784",2,0,8,0,2,12,109
B,ago - dic 2019,MOTOR,Ruido,"109,784",2,0,0,1,0,3,27
B,ago - dic 2019,MOTOR,Tornillo ausente,"109,784",2,1,5,0,0,8,73
C,ago - dic 2019,MOTOR,Agrietados / con golpes / quebrados,"109,784",0,2,3,0,0,5,46
C,ago - dic 2019,MOTOR,Cable suelto,"109,784",0,0,2,0,0,2,18
C,ago - dic 2019,MOTOR,Falla en agitación,"109,784",3,0,0,0,0,3,27
C,ago - dic 2019,MOTOR,Embobinado dañado,"109,784",2,0,0,0,0,2,18
C,ago - dic 2019,MOTOR,Abanico quebrado,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,MOTOR,Falla ccw,"109,784",1,0,0,0,0,1,9
C,ago - dic 2019,MOTOR,Falta de etiqueta,"109,784",1,0,0,0,0,1,9
