Fecha,Product/ Platform,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,Warehouse,Dealer,SIR 1 MIS,n.,PPM,R=1:5,$,Min,$,$ TOTAL,R=1:5,R=1:10,1,3,5,30,35,40,48,Priority
Jul - Sep 2018,Jaguar,AGITADOR,Rebaba/Quebrado/Deforme,128205,0,9,2,0,0,0,3,14,109,4,3.9,15,37.5,41.4,4,3,,3,5,,,,48,2688
oct - dic 2018,,Agitador base,Quebrado / agrietado,140470,0,1,0,1,0,0,0,2,14,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador base,Tornillo ausente,140470,0,0,1,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador base,Tornillo barrido,140470,0,21,0,0,0,0,0,21,149,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador base,Falta de torque,140470,0,1,1,0,0,0,0,2,14,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador base,Pandeados,140470,0,0,2,0,0,0,0,2,14,,,,,,,,,,,,,,,
ago - dic 2019,,Agitador couple,Tornillo barrido,"109,784",0,61,17,0,0,0,0,78,710,5,0.71,10,0.62,1.33,2,4,0,183,85,0,0,0,0,"10,720"
ago - dic 2019,,Agitador couple,Tornillo falta de torque,"109,784",0,7,0,0,0,0,0,7,64,5,0.71,10,0.62,1.33,2,4,0,21,0,0,0,0,0,840
oct - dic 2018,,Agitador couple,Barrido,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador couple,Rebaba,140470,0,3,0,0,0,0,0,3,21,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador couple,Mal ensamblado,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador couple,Tornillo ausente,140470,0,0,1,0,0,0,0,1,7,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador couple,Tornillo barrido,140470,0,19,6,0,0,0,0,25,178,,,,,,,,,,,,,,,
oct - dic 2018,,Agitador couple,Tornillo con rebaba,140470,0,1,0,0,0,0,0,1,7,,,,,,,,,,,,,,,
