RANK,Fecha,Component Code,Problem Description,Volume,SQ,In Process- NDF,FPY,CAL,SIR 1 MIS,n.,PPM,,,,,,,,,,
C,ago - dic 2019,Etiqueta autolevel,Burbuja,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Etiqueta de advertencia,Despegado,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Etiqueta de atención,Ausente,109784,0,2,1,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Fascia,Poste deforme,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Fascia,Rebaba,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Lid metalico,Tornillo ausente,109784,0,1,2,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,Lid vidrio,Despegado,109784,2,0,0,1,0,3,27,,,,,,,,,,
C,ago - dic 2019,MANGUERA APS,Contaminado,109784,0,2,1,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,MOTOR,Ruido,109784,2,0,0,1,0,3,27,,,,,,,,,,
C,ago - dic 2019,MOTOR,Falla en agitación,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Nut,Ausente,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Planetario,Rebaba,109784,0,3,0,0,0,3,27,,,,,,,,,,
B,ago - dic 2019,REAR PANEL,Golpeado,109784,0,0,0,0,3,3,27,,,,,,,,,,
B,ago - dic 2019,REAR PANEL,Mal ensamble,109784,0,2,0,0,1,3,27,,,,,,,,,,
C,ago - dic 2019,REAR PANEL,Falta de torque,109784,0,3,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Tarjeta Robin,LED encendido,109784,3,0,0,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,Tarjeta Robin,Mal ruteo,109784,0,0,3,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,TINA,Orificio tapado,109784,0,2,1,0,0,3,27,,,,,,,,,,
C,ago - dic 2019,TRANSMISIÓN,Snap doble,109784,0,3,0,0,0,3,27,,,,,,,,,,
